episode,crop,season_return,avg100_return,actor_loss,critic_loss,total_water_mm,total_nitrogen_kgha,vs_baseline_pct,grain_yield_kgha,profit_usd_ha,avg100_profit_usd_ha
242,maize,-316.4689,-419.5414,,,3060.0,0.0,-44.72,6078.1,-316.47,-419.54
243,maize,-291.4008,-416.1395,,,2920.0,0.0,-41.18,5842.4,-291.4,-416.14
244,maize,-525.0533,-421.6659,,,3390.0,0.0,-74.2,6035.8,-525.05,-421.67
245,maize,-319.8453,-419.7139,,,3050.0,0.0,-45.2,6040.6,-319.85,-419.71
246,maize,-260.5448,-418.189,,,3120.0,0.0,-36.82,6445.8,-260.54,-418.19
247,maize,-169.3788,-417.2707,,,2860.0,0.0,-23.94,6186.5,-169.38,-417.27
248,maize,-542.6393,-420.9755,,,3460.0,0.0,-76.69,6133.4,-542.64,-420.98
249,maize,-351.5723,-422.2176,,,3070.0,0.0,-49.68,5961.7,-351.57,-422.22
250,maize,-529.7904,-423.7502,,,3360.0,0.0,-74.87,5944.8,-529.79,-423.75
251,maize,-378.1347,-424.5423,,,3240.0,0.0,-53.44,6263.5,-378.13,-424.54
252,maize,-501.4979,-425.0716,,,3240.0,0.0,-70.87,5770.0,-501.5,-425.07
253,maize,-284.804,-423.3247,,,3140.0,0.0,-40.25,6396.8,-284.8,-423.32
254,maize,-251.4058,-426.3558,,,3030.0,0.0,-35.53,6266.4,-251.41,-426.36
255,maize,-151.1143,-421.7394,,,2850.0,0.0,-21.36,6235.5,-151.11,-421.74
256,maize,-211.6947,-417.1878,,,3210.0,0.0,-29.92,6857.2,-211.69,-417.19
257,maize,-275.9306,-415.3887,,,3260.0,0.0,-38.99,6720.3,-275.93,-415.39
258,maize,-494.2136,-418.6462,,,3190.0,0.0,-69.84,5679.1,-494.21,-418.65
259,maize,-522.0251,-422.9153,,,3290.0,0.0,-73.77,5807.9,-522.03,-422.92
260,maize,-785.0775,-426.4792,,,3500.0,0.0,-110.95,5259.7,-785.08,-426.48
261,maize,-727.8199,-430.3895,,,3510.0,0.0,-102.85,5512.7,-727.82,-430.39
262,maize,0.5238,-426.3968,,,2600.0,0.0,0.07,6242.1,0.52,-426.4
263,maize,-362.1967,-424.1364,,,2960.0,0.0,-51.19,5655.2,-362.2,-424.14
264,maize,-622.2333,-426.6643,,,3470.0,0.0,-87.93,5839.1,-622.23,-426.66
